question,document
Do I need to rebuild my Docker image when I make changes to my Streamlit app and I'm using docker-compose?,e8df9f0d12
Is the capstone project a team effort or do we work individually?,0fab61eca2
Can I work with others on the capstone project?,0fab61eca2
Do I have to do the capstone project alone?,0fab61eca2
How does collaboration work for the capstone project?,0fab61eca2
Can I discuss my capstone project idea with other students?,0fab61eca2
Do I need to submit two projects for the capstone?,d5fc98925d
What happens if my first project submission fails?,d5fc98925d
Can I use the same dataset for both project submissions?,d5fc98925d
"What if I miss the first submission window, do I still have a chance?",d5fc98925d
Does participating in peer review affect my certification?,d5fc98925d
Is the competition a required part of the capstone project?,e892d44e42
Can I do the competition with a team or do I have to do it alone?,e892d44e42
Does participating in the competition give me credit for the capstone?,e892d44e42
Do I have to participate in the competition as part of the capstone?,e892d44e42
Can I work on the capstone with a team or does it have to be individual?,e892d44e42
How does the capstone project evaluation work in this course?,9a2e2d2008
Will I be grading other students' projects and will they be grading mine?,9a2e2d2008
What happens if I don't participate in grading my fellow students' projects?,9a2e2d2008
How is the final grade for the capstone project determined?,9a2e2d2008
What criteria will be used to evaluate the capstone projects?,9a2e2d2008
When do we get assigned projects to review and grade?,eae0fb50aa
How are the projects for review and grading assigned to us?,eae0fb50aa
What happens after the project submission deadline?,eae0fb50aa
Can I know in advance which projects I'll be reviewing?,eae0fb50aa
How many projects will each of us be reviewing?,eae0fb50aa
Why can't I review projects before they're assigned to me?,a8a7fef016
Can I choose which projects I want to evaluate?,a8a7fef016
"I've submitted my project, when can I start reviewing others?",a8a7fef016
Is it possible to review projects before the submission deadline?,a8a7fef016
How are projects assigned for evaluation?,a8a7fef016
What are some good resources for finding project ideas and datasets?,e76a70cde3
How do I come up with ideas for the capstone project?,e76a70cde3
Where can I find datasets for my project?,e76a70cde3
Can you provide some tips for choosing a project idea?,e76a70cde3
Are there any guidelines for selecting a dataset for the project?,e76a70cde3
Do I really need an orchestration tool for the capstone project?,d4f7c08ea1
Can I just use a plain Python script for the ingestion pipeline?,d4f7c08ea1
Will using a Jupyter notebook instead of a Python script affect my grading?,d4f7c08ea1
When should I actually use an orchestrator like Airflow or Mage?,d4f7c08ea1
Is it true that using an orchestrator only for the sake of scoring points is not recommended?,d4f7c08ea1
How do I evaluate a recommender-style RAG when there's no obvious Q&A ground truth?,9b0e2d6a47
What methods can I use to evaluate a RAG system without clear Q&A pairs?,9b0e2d6a47
Can I use LLMs to generate synthetic queries for evaluating my RAG system's performance?,9b0e2d6a47
How can I use LLMs to judge the quality of my RAG system's results?,9b0e2d6a47
What metrics are suitable for evaluating ranking-style problems in RAG systems?,9b0e2d6a47
What's a good strategy for chunking a large corpus with long PDFs and many paragraphs?,6f2a8b3d10
How do I handle chunking for long and structured documents like legal or financial papers?,6f2a8b3d10
What are some tools I can use to parse PDFs into clean markdown before chunking?,6f2a8b3d10
Should I try to find the perfect chunker before moving forward with my project?,6f2a8b3d10
How do I know if my chunking strategy is working and how can I improve it?,6f2a8b3d10
What does reproducibility mean in the context of the capstone project?,e5d8a2c761
Do I need to share my API keys with peer reviewers?,e5d8a2c761
How can I make my project reproducible without sharing sensitive credentials?,e5d8a2c761
What are some best practices for ensuring reproducibility in my project?,e5d8a2c761
Can I use expensive models for my project or are there specific recommendations?,e5d8a2c761
Can I do the homework and project in a language other than Python?,ea815eb858
"What if I want to use JavaScript, TypeScript, Go, Rust, Java, Scala, C#, or R for the course?",ea815eb858
Do I have to use Python for the capstone project?,ea815eb858
"Can I use a non-Python language for homework, and what do I need to do?",ea815eb858
How do I submit a project in a language other than Python and ensure it's easy to review?,ea815eb858
What are the links to previous LLM Zoomcamp project submissions?,930286278d
How can I see what previous students have done for their capstone projects?,930286278d
Are there any examples of completed LLM Zoomcamp capstone projects I can look at?,930286278d
Where can I find the repositories for previous LLM Zoomcamp projects?,930286278d
Can I browse through projects from previous years of the LLM Zoomcamp?,930286278d
Do I have to reserve my project idea before starting it?,897a350476
Can I get feedback on my project idea before I start working on it?,897a350476
How can I make sure my project idea is not too similar to others?,897a350476
Are there any resources I can look at to understand the scope of the project?,897a350476
What if my project idea is similar to one that was done in a previous year?,897a350476
What interfaces can I use for my capstone project besides a web app?,7318a90b14
Can I build a CLI for my project instead of a web app?,7318a90b14
Are there any restrictions on how I make my project available to users?,7318a90b14
Will the course cover building interfaces like Telegram or WhatsApp bots?,7318a90b14
Do I need to know how to build a Slack app or other interfaces for my project?,7318a90b14
What are some good tools to extract text from PDFs for a RAG project?,d8b28c47a0
How do I extract text from scanned or OCR documents?,d8b28c47a0
Can I use Tesseract OCR for text extraction from PDFs?,d8b28c47a0
What are some alternatives to using a local OCR tool for text extraction?,d8b28c47a0
How do I choose the best tool for extracting text from my specific PDF documents?,d8b28c47a0
Can I use the workshop materials for my own projects?,d850a0e7ea
Can I share the workshop materials with others?,d850a0e7ea
Can I use dlt for projects outside of this Zoomcamp?,d850a0e7ea
Is dlt only for loading and storing data?,d850a0e7ea
Can I use dlt for my MLOps Zoomcamp project?,d850a0e7ea
What is the command to initialize a new dlt project?,6bceeebf04
How do I set up a dlt project for loading data from the cloud?,6bceeebf04
Can I use dlt to load data from cloud storage?,6bceeebf04
What are the steps to initialize a dlt project with duckdb?,6bceeebf04
How do I start a new dlt project with filesystem and duckdb?,6bceeebf04
"I'm getting a FileNotFoundError when trying to open a table, what's going on?",0407213397
How do I fix the error 'Table does not exist' when using db.open_table?,0407213397
"I changed the table name in my pipeline settings, but I'm still getting an error, what did I miss?",0407213397
What happens if I don't update all instances of the old table name in my pipeline?,0407213397
Why is db.open_table failing even though I'm sure the table exists?,0407213397
"I'm getting a FileNotFoundError when running main(), what's going on?",e95bfafc0e
How do I fix the Table notion_pages___homework does not exist error?,e95bfafc0e
What do I do if db.create_table keeps failing with a FileNotFoundError?,e95bfafc0e
Why is my dbtable not opening and throwing a FileNotFoundError?,e95bfafc0e
What is the correct way to open the notion_pages___homework table?,e95bfafc0e
What's the best way to find all tables in a database?,e394e6f738
How can I list all the tables in my db?,e394e6f738
Is there a method to get a list of tables in the database?,e394e6f738
What method do I use to see all tables in my database?,e394e6f738
How do I find out what tables are available in my database?,e394e6f738
Does DLT support ClickHouse or StarRocks out of the box?,cd19f122f3
Can I use DLT with ClickHouse or StarRocks?,cd19f122f3
Are there any plans to add ClickHouse or StarRocks connectors to DLT?,cd19f122f3
How can I integrate ClickHouse or StarRocks with DLT?,cd19f122f3
Is it possible to add a connector for ClickHouse or StarRocks to DLT myself?,cd19f122f3
Why does my notebook keep getting a 401 Client Error: Unauthorized when trying to access Notion API?,0dfba07ace
What do I do if I'm getting a 401 error with my Notion API request?,0dfba07ace
How can I fix the authorization issue with Notion API in my notebook?,0dfba07ace
What are the common causes of authorization errors with Notion API?,0dfba07ace
What should I check first if I'm encountering a 401 error with Notion API?,0dfba07ace
"I'm getting a 401 Client Error when trying to install requests library, what does it mean and how do I fix it?",4b30b918bc
Why does pip install requests library version 2.28 instead of 2.32 which is required for lancedb?,4b30b918bc
How can I install a specific version of the requests library directly from its source on github?,4b30b918bc
What if my key is correct but I still get a 401 Client Error when installing the requests library?,4b30b918bc
Is there a way to install version 2.32.3 of the requests library using pip without manually downloading it?,4b30b918bc
